,Tweets Ago,Media,Tweet,Date,Compound,Positive,Negative,Neutral
0,1,BBC,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",Sun Jan 07 20:03:03 +0000 2018,0.2263,0.158,0.734,0.107
1,2,BBC,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",Sun Jan 07 19:30:04 +0000 2018,0.7351,0.279,0.721,0.0
2,3,BBC,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,Sun Jan 07 19:25:10 +0000 2018,0.0,0.0,1.0,0.0
3,4,BBC,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",Sun Jan 07 19:22:48 +0000 2018,0.0,0.0,1.0,0.0
4,5,BBC,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",Sun Jan 07 19:19:39 +0000 2018,0.0,0.0,1.0,0.0
5,6,BBC,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",Sun Jan 07 19:18:56 +0000 2018,-0.1531,0.0,0.926,0.074
6,7,BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",Sun Jan 07 19:00:05 +0000 2018,0.3612,0.102,0.898,0.0
7,8,BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",Sun Jan 07 18:32:03 +0000 2018,0.0,0.0,1.0,0.0
8,9,BBC,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,Sun Jan 07 17:59:05 +0000 2018,0.6369,0.318,0.682,0.0
9,10,BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",Sun Jan 07 17:19:01 +0000 2018,0.4215,0.203,0.797,0.0
10,11,BBC,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",Sun Jan 07 16:53:27 +0000 2018,0.128,0.333,0.359,0.308
11,12,BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,Sun Jan 07 16:34:03 +0000 2018,-0.0258,0.15,0.695,0.155
12,13,BBC,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,Sun Jan 07 16:31:59 +0000 2018,0.5859,0.388,0.612,0.0
13,14,BBC,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,Sun Jan 07 16:31:55 +0000 2018,0.6369,0.231,0.769,0.0
14,15,BBC,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,Sun Jan 07 16:31:45 +0000 2018,0.0,0.0,1.0,0.0
15,16,BBC,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,Sun Jan 07 16:31:39 +0000 2018,0.4019,0.172,0.828,0.0
16,17,BBC,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",Sun Jan 07 16:30:09 +0000 2018,0.0,0.0,1.0,0.0
17,18,BBC,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",Sun Jan 07 16:27:07 +0000 2018,0.0,0.0,1.0,0.0
18,19,BBC,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,Sun Jan 07 16:25:04 +0000 2018,0.0,0.0,1.0,0.0
19,20,BBC,"RT @BBCOne: 📞 INCOMING. 
#McMafia continues tonight at 9pm, @BBCOne. Don’t be late. https://t.co/z1JBKX7RAl",Sun Jan 07 16:19:01 +0000 2018,0.0,0.0,1.0,0.0
20,21,BBC,"Switzerland's Schindler? 
Carl Lutz is the forgotten Swiss diplomat who rescued thousands from Holocaust.… https://t.co/LNzRhFR6LN",Sun Jan 07 20:03:03 +0000 2018,0.2263,0.158,0.734,0.107
21,22,BBC,"Tonight, Michael Palin shares the story behind his outstanding career in television and film. ✨ 

Michael Palin: A… https://t.co/VOYzhp6JyU",Sun Jan 07 19:30:04 +0000 2018,0.7351,0.279,0.721,0.0
22,23,BBC,RT @BBCWorld: Snowing or glowing? https://t.co/em8Ks1aGPZ,Sun Jan 07 19:25:10 +0000 2018,0.0,0.0,1.0,0.0
23,24,BBC,"RT @BBCRadio4: 🎪 Roll up! Roll up!
https://t.co/AeAloY7XGG",Sun Jan 07 19:22:48 +0000 2018,0.0,0.0,1.0,0.0
24,25,BBC,"RT @bbccomedy: We can't keep up with the Karcrashians. OHMIGOD, SO PWETTY!!!! https://t.co/eJV7FijmOB",Sun Jan 07 19:19:39 +0000 2018,0.0,0.0,1.0,0.0
25,26,BBC,"RT @bbcmusic: Ed Sheeran performing 'Perfect' with Jools Holland and his Rhythm &amp; Blues Orchestra was rather exceptional 💕
-
Miss the show?…",Sun Jan 07 19:18:56 +0000 2018,-0.1531,0.0,0.926,0.074
26,27,BBC,"You can learn what an animal sounds like from what it evolved to hear. 

And it turns out, T rex sounded nothing li… https://t.co/BuXuJ3majp",Sun Jan 07 19:00:05 +0000 2018,0.3612,0.102,0.898,0.0
27,28,BBC,"Tonight, David Attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. 🌊 

Attenborough an… https://t.co/xWsAFgCQu8",Sun Jan 07 18:32:03 +0000 2018,0.0,0.0,1.0,0.0
28,29,BBC,Budget Italian feasts the whole family will love. 🍝 https://t.co/MtSlOvp6m6 https://t.co/8fCY2ToBM6,Sun Jan 07 17:59:05 +0000 2018,0.6369,0.318,0.682,0.0
29,30,BBC,"What's the true scale of the global trade in humans? 
#McMafia https://t.co/3X7YDsabMv",Sun Jan 07 17:19:01 +0000 2018,0.4215,0.203,0.797,0.0
30,31,BBC,"The best, worst and weirdest #FACup fan fashion. ⚽️💅 https://t.co/hDEBwew84U https://t.co/1DMfVbC8oJ",Sun Jan 07 16:53:27 +0000 2018,0.128,0.333,0.359,0.308
31,32,BBC,RT @BBC_designed: Eastern Block design is back and it’s inspiring a whole new fashion movement. 🎉 https://t.co/xS6vJ68vX8,Sun Jan 07 16:34:03 +0000 2018,-0.0258,0.15,0.695,0.155
32,33,BBC,RT @BBCWorld: A beauty contest with a difference 🐟 https://t.co/ardDeFBwO5,Sun Jan 07 16:31:59 +0000 2018,0.5859,0.388,0.612,0.0
33,34,BBC,RT @bbcthree: Becoming a single mum was the best thing that happened to me  https://t.co/64ZeqQRwE0 https://t.co/bJROBhtERz,Sun Jan 07 16:31:55 +0000 2018,0.6369,0.231,0.769,0.0
34,35,BBC,RT @BBCScotland: 'Official sightings' of Nessie in 2017 were the highest this century 🐉 https://t.co/eToUiRbB0Z,Sun Jan 07 16:31:45 +0000 2018,0.0,0.0,1.0,0.0
35,36,BBC,RT @bbccomedy: When your wife is definitely not your wife... 😳😂 #WouldILieToYou @joelycett https://t.co/Rr268sR8p6,Sun Jan 07 16:31:39 +0000 2018,0.4019,0.172,0.828,0.0
36,37,BBC,"The Ricky &amp; Graham Show, anyone?

#TheGNShow https://t.co/BvFk05j0Zq",Sun Jan 07 16:30:09 +0000 2018,0.0,0.0,1.0,0.0
37,38,BBC,"RT @bbcmusic: You might recognise some of the names who voted in the #SoundOf2018 poll..

Hiya @stormzy1, @elliegoulding and @alexander_oll…",Sun Jan 07 16:27:07 +0000 2018,0.0,0.0,1.0,0.0
38,39,BBC,RT @BBCTwo: Here's why doves will not be appearing at the Tokyo 2020 Olympics. 🕊😳 #QI https://t.co/Fm1FX4WzTQ,Sun Jan 07 16:25:04 +0000 2018,0.0,0.0,1.0,0.0
